"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000184613","NELL2","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","brain;choroid plexus;retina","Detected in many","123.33 - choroid plexus","0.20 - parathyroid gland","Low tissue specificity","","Detected in all","328.17 - cerebral cortex","35.30 - pons","Low tissue specificity","","Detected in all","328.17 - cingulate cortex","6.81 - cerebellar white matter","Low tissue specificity","","Detected in all","328.17 - posterior cingulate cortex","6.81 - cerebellar white matter",NA
"ENSG00000111716","LDHB","Disease related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","heart muscle","Detected in all","1880.31 - heart muscle","68.34 - liver","Low tissue specificity","","Detected in all","597.68 - cerebellum","353.57 - hippocampal formation","Low tissue specificity","","Detected in all","597.68 - cerebellar nucleus","269.79 - claustrum","Low tissue specificity","","Detected in all","597.68 - cerebellar nuclei","213.51 - temporal white matter",NA
"ENSG00000139330","KERA","Disease related genes;Human disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Not detected","","Not detected","0.94 - gallbladder","0.00 - choroid plexus","Not detected","","Not detected","0.13 - pons","0.01 - spinal cord","Not detected","","Not detected","0.13 - pons","0.00 - mammillary body","Not detected","","Not detected","0.13 - reticular pontine nucleus, oral","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000127328","RAB3IP","Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","choroid plexus","Detected in all","112.85 - choroid plexus","2.96 - ovary","Low tissue specificity","","Detected in all","179.56 - cerebellum","39.19 - spinal cord","Low tissue specificity","","Detected in all","179.56 - cerebellum","30.45 - epithalamus","Low tissue specificity","","Detected in all","179.56 - flocculonodular lobe","26.25 - arcuate nucleus",NA
"ENSG00000139263","LRIG3","Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Low tissue specificity","","Detected in many","56.52 - thyroid gland","0.11 - bone marrow","Low tissue specificity","","Detected in all","22.65 - choroid plexus","4.31 - cerebellum","Low tissue specificity","","Detected in all","22.65 - choroid plexus","2.05 - cerebellum","Tissue enhanced","choroid plexus","Detected in all","22.65 - choroid plexus","1.22 - flocculonodular lobe",NA
"ENSG00000161642","ZNF385A","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","retina;skin 1","Detected in all","242.95 - retina","2.43 - testis","Low tissue specificity","","Detected in all","303.91 - thalamus","82.83 - choroid plexus","Low tissue specificity","","Detected in all","303.91 - dorsal thalamus","64.37 - claustrum","Low tissue specificity","","Detected in all","303.91 - posterior thalamic nucleus","33.87 - parieto-temporal junction (white matter)",NA
"ENSG00000177675","CD163L1","CD markers;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014)","Tissue enhanced","intestine;lymphoid tissue","Detected in many","31.06 - lymphoid tissue","0.20 - bone marrow","Low tissue specificity","","Detected in all","8.87 - thalamus","1.81 - cerebellum","Low tissue specificity","","Detected in many","8.87 - dorsal thalamus","0.75 - cerebellum","Low tissue specificity","","Detected in many","8.87 - anterior thalamic nucleus, ventral","0.49 - cerebellar cortex",NA
"ENSG00000111783","RFX4","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Transcription factors;Transcription factors predicted","Group enriched","brain;testis","Detected in some","72.95 - testis","0.00 - tongue","Low tissue specificity","","Detected in all","102.82 - hypothalamus","8.29 - choroid plexus","Low tissue specificity","","Detected in all","102.82 - supraoptic hypothalamus","8.29 - choroid plexus","Low tissue specificity","","Detected in all","102.82 - supraoptic nucleus","8.29 - choroid plexus",NA
"ENSG00000186815","TPCN1","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Transporters;Voltage-gated ion channels","Low tissue specificity","","Detected in all","108.51 - brain","11.16 - retina","Low tissue specificity","","Detected in all","151.62 - cerebellum","75.59 - hypothalamus","Low tissue specificity","","Detected in all","151.62 - cerebellum","55.33 - retrosplenial cortex","Low tissue specificity","","Detected in all","151.62 - flocculonodular lobe","52.02 - arcuate nucleus",NA
"ENSG00000110876","SELPLG","Candidate cardiovascular disease genes;CD markers;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014)","Tissue enhanced","lymphoid tissue","Detected in many","84.55 - lymphoid tissue","0.69 - retina","Low tissue specificity","","Detected in all","46.99 - white matter","11.97 - choroid plexus","Low tissue specificity","","Detected in all","46.99 - spinal cord white matter","4.94 - cerebellum","Low tissue specificity","","Detected in all","46.99 - lateral funiculus (white matter)","4.03 - flocculonodular lobe",NA
